名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
百家商业街,云南,昆明,昆明,0871,67011650;67011180,官南大道,官南大道,景点,步行街,102.718964,24.984459
美璟新城商业街,云南,昆明,昆明,0871,,和谐世纪,霖雨路194号,景点,步行街,102.732063,25.096512
中国康辉云南旅游机构,云南,昆明,昆明,0871,4006590640,人民东路,春城路204号,景点,旅行社,102.7259,25.021047
金桥旅游,云南,昆明,昆明,0871,,昆明站,永平路,景点,旅行社,102.72398,25.019089
旅游百事通,云南,昆明,昆明,0871,63622223,昆明站,永安路红河宾馆春城路店,景点,旅行社,102.725606,25.020929
春城路旅游票务,云南,昆明,昆明,0871,,人民东路,春城路12号,景点,旅行社,102.725324,25.032922
旅游百事通,云南,昆明,昆明,0871,,菊花村,民航路260号附10号,景点,旅行社,102.73749,25.021002
潜乐国际潜水,云南,昆明,昆明,0871,63559795;63542996,云南映象,玉溪澄江县江川环湖公路甸海线碧风湾沙滩,景点,潜水,102.744286,25.074673
中北旅游,云南,昆明,昆明,0871,,昆明站,太和街道明通路62号,景点,旅行社,102.718307,25.02137
寻甸回族菜牛文化庄园,云南,昆明,寻甸回族彝族自治县,0871,62652555,寻甸回族彝族自治县其他,寻甸县三板桥,景点,动植物园,103.255119,25.53117
康辉旅游西南林业大学门市部,云南,昆明,昆明,0871,65656269,白龙寺,南院路中国石油(白云加油站)东侧约130米,景点,旅行社,102.74896,25.06039
东胜湿地,云南,昆明,昆明,0871,,国际会展中心,海埂沿线,景点,公园/广场,102.692207,24.956778
宝象河,云南,昆明,晋宁区,0871,,晋宁区其他,东南部老爷山经小寨村至宝丰村汇入滇池,景点,自然风光,102.731102,24.689375
中北旅游,云南,昆明,昆明,0871,63313149,白龙寺,新兴路新迎小区11组团171幢2单元,景点,旅行社,102.737714,25.059214
中北旅游,云南,昆明,昆明,0871,157****9645,关上,锦西路邦盛国际茶城2-32号,景点,旅行社,102.723671,24.979761
花之城,云南,昆明,昆明,0871,63959482,寺瓦路,金瓦路8188号,景点,植物园,102.789368,25.05415
谷神大酒店室外温泉,云南,昆明,昆明,0871,65090788;175****0901,新螺蛳湾,商盛街新螺蛳湾国际商贸城二期7号写字21楼顶楼,景点,温泉,102.778877,24.94441
滇池牡丹庄园,云南,昆明,昆明,0871,68580799,西山区,白鱼口村林梅公路旁,景点,动植物园,102.627914,24.799685
雄风运动文化生态园,云南,昆明,昆明,0871,67369999,长水机场,农电所段与杨官庄段交叉路口往东南约170米,景点,动植物园,102.966415,25.141197
