名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
金美公园,广东,东莞,东莞,0769,83910535,常平镇,金美市场路与金美路交叉口西100米,景点,公园/广场,113.979469,22.964596
下墟公园,广东,东莞,东莞,0769,,中元街,下墟沙边街118号,景点,公园/广场,113.987141,22.975853
铁路公园,广东,东莞,东莞,0769,83977736,百花时代,常平镇公园路,景点,公园/广场,114.015099,22.973873
大井头公园,广东,东莞,东莞,0769,,东宝路,朱园路136号,景点,公园/广场,113.789108,23.041319
土塘公园,广东,东莞,东莞,0769,,百花时代,士塘公园路与塘东路交叉口旁,景点,公园/广场,114.024925,22.961184
威远公园,广东,东莞,东莞,0769,85511615,威远,环岛路武山沙段66号,景点,公园/广场,113.661156,22.815781
大塘头公园,广东,东莞,东莞,0769,,东宝路,东宝路与新兴街东一区四巷交叉口东南100米,景点,公园/广场,113.786224,23.048342
司马公园,广东,东莞,东莞,0769,,常平镇,司马商业三街20号,景点,公园/广场,114.06742,22.974726
上三杞公园,广东,东莞,东莞,0769,,新世纪星城,学前路新街5号,景点,公园/广场,113.798584,23.03454
樟村公园,广东,东莞,东莞,0769,,樟村,附城樟村文华大道2号东江大厦附近,景点,公园/广场,113.769348,23.061678
三屯公园,广东,东莞,东莞,0769,135****9958,赤岭公园,中心大道,景点,公园/广场,113.67485,22.959517
虎门阳光公园,广东,东莞,东莞,0769,,北栅,仁中岗路20号,景点,公园/广场,113.716118,22.827147
红花林公园,广东,东莞,东莞,0769,,厚街镇,富民路2号,景点,公园/广场,113.641132,22.924921
金洲公园,广东,东莞,东莞,0769,,虎门大润发,金洲村金洲路,景点,公园/广场,113.682449,22.808767
居岐公园,广东,东莞,东莞,0769,,北栅,居岐路34号,景点,公园/广场,113.731133,22.822418
蒋光鼐故居,广东,东莞,东莞,0769,85561504,南栅,南栅三蒋村新基二巷1号,景点,名人故居,113.68763,22.784729
三台山公园,广东,东莞,东莞,0769,85562594,南栅,三蒋新基十三巷5号,景点,公园/广场,113.685867,22.785509
执信公园,广东,东莞,东莞,0769,85506878,人民中路,人民南路64号,景点,公园/广场,113.667923,22.818441
宁馨公园,广东,东莞,东莞,0769,,大宁,宁馨北路6号,景点,公园/广场,113.717468,22.820147
宏远金丰体育公园,广东,东莞,东莞,0769,22426066,富民步行街,金丰路与宏远路交汇处,景点,公园/广场,113.727776,23.014425
度香亭公园,广东,东莞,东莞,0769,,银丰路,南城街道银丰路22号楼B栋附近,景点,公园/广场,113.735405,23.021078
南社公园,广东,东莞,茶山镇,0769,,茶山镇,茶南路南端,景点,公园/广场,113.902374,23.066181
茶山公园,广东,东莞,茶山镇,0769,,镇中心/怡华北路,爱国路73号,景点,公园/广场,113.871796,23.065264
雁湖公园,广东,东莞,东莞,0769,87770801,雁田,雁田祥新西路2号,景点,公园/广场,114.161079,22.697578
凤岗玉泉街心公园,广东,东莞,东莞,0769,,永盛北街,玉泉路15号附近,景点,公园/广场,114.148994,22.746601
黄江梅塘烈士公园,广东,东莞,东莞,0769,,梅塘田心,黄江镇公常路附近,景点,纪念公园,113.97834,22.830599
麻二公园,广东,东莞,麻涌镇,0769,,麻涌镇中心城区,沿河西街与康乐街交叉口处附近,景点,公园/广场,113.570496,23.042423
黄大仙公园,广东,东莞,东莞,0769,86768712,企石镇中心城区,黄大仙路2号,景点,公园/广场,114.015083,23.081055
深巷公园,广东,东莞,东莞,0769,,企石镇,新湖二路,景点,公园/广场,114.083772,23.0773
莲湖公园,广东,东莞,东莞,0769,83341868,莲湖公园,桥头镇碧莲路3号,景点,公园/广场,114.101021,23.017691
松山湖梦幻百花洲,广东,东莞,东莞,0769,23077006;23076008,松山湖,高新区松山湖新城大道松山湖梦幻百花洲,景点,自然风光,113.87751,22.929663
赤岭娱乐公园,广东,东莞,东莞,0769,,赤岭公园,商业横街（赤岭娱乐公园内）,景点,公园/广场,113.700914,22.965962
清溪文化公园,广东,东莞,东莞,0769,,金阳广场/天和百货,香芒中路,景点,文化公园,114.161285,22.84004
明珠亲水公园,广东,东莞,石碣镇,0769,,石碣镇,沙腰管理区,景点,公园/广场,113.779633,23.124344
松山湖中心公园,广东,东莞,东莞,0769,,松山湖,松山湖红棉路,景点,城市公园,113.881966,22.930672
石龙中山公园,广东,东莞,东莞,0769,,老城区,太平路,景点,公园/广场,113.855881,23.109779
金沙湾公园,广东,东莞,东莞,0769,,西湖,石龙镇石龙东桥与裕兴路交汇处,景点,公园/广场,113.866875,23.105297
半仙山公园,广东,东莞,东莞,0769,,横沥镇中心城区,和平路,景点,公园/广场,113.962639,23.021111
塘厦文化公园,广东,东莞,东莞,0769,138****2424,塘厦镇,宏业南六路1号,景点,文化公园,114.098274,22.811672
塘厦观光公园,广东,东莞,东莞,0769,87919400,花园街/时代城,北路3号,景点,公园/广场,114.09391,22.811783
田心公园,广东,东莞,东莞,0769,22709811,凫山/汽车客运站,寮步镇八达路190号,景点,公园/广场,113.894951,22.989292
东莞博物馆,广东,东莞,东莞,0769,22111522;22119729,名汇城/人民公园,新芬路36号（人民公园旁边）,景点,博物馆,113.756111,23.040392
东岳公园,广东,东莞,茶山镇,0769,83217200,镇中心/怡华北路,东岳路与茶山大道交口,景点,公园/广场,113.877182,23.07225
万江公园,广东,东莞,东莞,0769,,万江桥,公园路2号,景点,公园/广场,113.738197,23.045313
井巷古榕公园,广东,东莞,东莞,0769,,理工城市学院,福民路2号附近,景点,公园/广场,113.837776,22.988014
东纵纪念馆,广东,东莞,东莞,0769,85651766,大岭山镇,厚大路大王岭路段,景点,纪念馆,113.807297,22.88685
大岭山体育公园,广东,东莞,东莞,0769,81662333,大岭山镇中心城区,大岭山大道,景点,公园/广场,113.833115,22.912254
水濂山蝴蝶谷,广东,东莞,东莞,0769,181****2631;180****0919,水濂山,水濂山森林公园内,景点,自然风光,113.753319,22.927334
东莞市讯通旅行社,广东,东莞,东莞,0769,188****8983,戴屋庄,莞太大道5号讯通大厦8楼,景点,旅行社,113.749237,23.03511
岭南美术馆,广东,东莞,东莞,0769,22116861;22116521,万江桥,可园北路1号,景点,美术馆,113.742264,23.043392
四海国际旅行社,广东,东莞,东莞,0769,137****4292,东纵路,东城大道33号金澳花园酒店四楼,景点,旅行社,113.761803,23.031914
华仁商业步行街,广东,东莞,东坑镇,0769,,大众时代广场,东坑镇长安塘村正崴二路与科技路交叉口东北100米,景点,步行街,113.947746,22.975843
虾公山,广东,东莞,东莞,0769,,企石镇,企石镇铁岗,景点,自然风光,114.094231,23.060719
南城富民商业步行街,广东,东莞,东莞,0769,22427088,富民步行街,莞太路与城市风景街交叉口,景点,步行街,113.73465,23.004791
城市风情街,广东,东莞,东莞,0769,22998201,城市风景街,S256,景点,步行街,113.734856,23.004366
岭头啤酒广场,广东,东莞,东莞,0769,,广隆百货,工业大路2号（石坡百货西250米）,景点,公园/广场,114.075775,23.010021
美食一条街,广东,东莞,东莞,0769,,广隆百货,文明路田新段-40号,景点,步行街,114.084023,23.016104
广之旅,广东,东莞,东莞,0769,83812366,中元街,常平镇振华五街43号（近苏宁电器）,景点,旅行社,113.990759,22.969935
塘厦城市展示馆,广东,东莞,东莞,0769,82077877,万科/隆福花园,塘龙广场东1,景点,博物馆,114.073868,22.80624
激情广场,广东,东莞,东莞,0769,83322318;83322198,寮步镇中心城区,寮浮路30号附近,景点,公园/广场,113.868729,22.990177
望牛墩滨江体育休闲公园,广东,东莞,东莞,0769,,望牛墩镇,望牛墩镇环城北路扶涌第二工业区西南200米,景点,公园/广场,113.66465,23.044624
方氏宗祠,广东,东莞,东莞,0769,,寮夏/河田,厚街镇河田大道120号,景点,宗教,113.677292,22.929035
长寿公园,广东,东莞,东莞,0769,,赤岗中心广场,工业路15号,景点,公园/广场,113.719299,22.846169
晨华旅行社,广东,东莞,东莞,0769,22412333,第一国际/汇一城,元美中路,景点,旅行社,113.753653,23.004543
板湖农贸市场商业步行街,广东,东莞,东莞,0769,,黄江天虹,同兴路板湖综合市场,景点,步行街,114.018272,22.918236
兴源游乐场,广东,东莞,东莞,0769,,名汇城/人民公园,东正公园路1号东莞人民公园内,景点,游乐场,113.757889,23.040136
海日风帆公园,广东,东莞,东莞,0769,,厚街大润发,海月街与湖滨街交叉口东南150米,景点,公园/广场,113.644457,22.917697
松山湖园艺博览中心,广东,东莞,东莞,0769,,松山湖,松山湖大学路,景点,展览馆,113.905663,22.907572
华宇商旅,广东,东莞,东莞,0769,23020858,第一国际/汇一城,石竹花园,景点,旅行社,113.755577,23.010835
御景缤纷世界,广东,东莞,东莞,0769,158****9980,樟木头人民医院,东城大道2号,景点,游乐场,114.091835,22.916351
东庄公祠,广东,东莞,东莞,0769,,大岭山镇中心城区,向东路143号,景点,宗教,113.831756,22.896472
石龙城市公园,广东,东莞,东莞,0769,,西湖,畔山街,景点,公园/广场,113.86657,23.089441
腾龙假日旅行社,广东,东莞,东莞,0769,22786222,万江桥,万福路1号,景点,旅行社,113.737474,23.0459
青年国际旅行社有限公司,广东,东莞,东莞,0769,,高埗镇中心城区,振兴东八横路2号,景点,旅行社,113.720425,23.080583
