名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
华山儿童公园,上海,上海,上海,021,62592049,上海影城/新华路,华山路1575号,景点,城市公园,121.434738,31.204189
未来岛公园,上海,上海,上海,021,62600920,桃浦,绥德路378号,景点,城市公园,121.374878,31.265781
梅川公园,上海,上海,上海,021,52811866,普陀区,武宁路2361号,景点,公园/广场,121.392837,31.245259
古藤园,上海,上海,上海,021,64304120,老闵行/交大师大,江川路街道临沧路148号（东川路江川路间）,景点,城市公园,121.386993,31.00296
新国际博览中心,上海,上海,上海,021,28906666;28906888,世纪公园/科技馆,花木街道龙阳路2345号,景点,展览馆,121.568054,31.210417
朱屺瞻艺术馆,上海,上海,上海,021,56710741,曲阳地区,欧阳路580号,景点,美术馆,121.486115,31.274406
黄浦公园,上海,上海,上海,021,53082636,外滩,外滩中山东一路500号,景点,城市公园,121.490784,31.241699
多伦现代美术馆,上海,上海,上海,021,65872530,四川北路/海伦路,多伦路27号,景点,美术馆,121.483101,31.261883
松鹤公园,上海,上海,上海,021,65139258,鞍山新村,抚顺路240号,景点,公园/广场,121.514168,31.28021
地铁旅行社,上海,上海,上海,021,64746201;63189188,莘庄,沪闵路6707号附近,景点,旅行社,121.392721,31.120771
上海展览中心,上海,上海,上海,021,22162216,静安寺,延安中路1000号,景点,展览馆,121.45256,31.224714
徐家汇天主堂,上海,上海,上海,021,64382595;64412211,徐家汇,蒲西路158号,景点,宗教,121.436134,31.191162
衡山公园,上海,上海,上海,021,,徐家汇,广元路2号,景点,城市公园,121.442116,31.200594
上航旅游,上海,上海,上海,021,56512370,上海大学,4,景点,旅行社,121.405145,31.308125
M50创意园,上海,上海,上海,021,62660963,上海火车站/客运汽车总站,莫干山路50号,景点,创意园区,121.449135,31.247983
中国社会主义青年团中央机关旧址纪念馆,上海,上海,上海,021,53823370,淮海路,淮海中路567弄1-6号,景点,纪念馆,121.468163,31.22014
内江公园,上海,上海,上海,021,65668906,黄兴公园,控江路261号,景点,城市公园,121.544937,31.286837
传奇假日,上海,上海,上海,021,4008881314,长寿路,长寿路285号恒达广场22楼,景点,旅行社,121.439262,31.240782
依东原创美术博物馆,上海,上海,上海,021,52729976,中山公园/江苏路,万航渡路1562号,景点,博物馆,121.415176,31.223347
中国科举博物馆,上海,上海,上海,021,59928800,嘉定镇,南大街183号,景点,博物馆,121.25322,31.381012
新上海国际旅行社,上海,上海,上海,021,63178705,上海火车站/客运汽车总站,天目西路488号长安大厦1号楼16楼,景点,旅行社,121.452338,31.245218
古华公园,上海,上海,上海,021,36373610,南桥,南桥镇解放中路220号,景点,城市公园,121.464745,30.917761
闸北公园,上海,上海,上海,021,,闸北公园,共和新路1555号,景点,纪念公园,121.460358,31.269472
江湾公园,上海,上海,上海,021,65172881,凉城/江湾镇,新市北路1509号,景点,城市公园,121.481911,31.30587
南京西路,上海,上海,上海,021,,南京西路,南京西路,景点,步行街,121.459526,31.230227
蓬莱公园,上海,上海,上海,021,63162567,董家渡/南浦大桥,南车站路350号,景点,城市公园,121.491447,31.206169
彭浦公园,上海,上海,上海,021,,彭浦新村,场中路2150号,景点,城市公园,121.447388,31.304609
宋庆龄陵园,上海,上海,上海,021,62754034,虹桥/古北,宋园路21号,景点,烈士陵园,121.411339,31.195398
大千天鹅湖庄园,上海,上海,上海,021,59238800;59238822,青浦城区,朱家角镇西洋淀1号,景点,动植物园,121.048454,31.135071
上海市龙华烈士陵园,上海,上海,上海,021,64685995,龙华/西岸,龙华西路180号,景点,烈士陵园,121.449234,31.175808
迪诺欢乐世界,上海,上海,上海,021,,松江大学城,中山南二路段,景点,游乐场,121.250267,31.032147
四川北路公园,上海,上海,上海,021,,四川北路/海伦路,四川北路1468号,景点,城市公园,121.48481,31.254852
普陀区文化馆,上海,上海,上海,021,62160166;62971256,曹杨地区,兰溪路138号,景点,美术馆,121.405457,31.239683
长青公园,上海,上海,上海,021,68589980,上南地区,长清路11号,景点,公园/广场,121.488701,31.174038
古城公园,上海,上海,上海,021,63366016,城隍庙/豫园,人民路333号,景点,公园/广场,121.493835,31.228428
广场公园,上海,上海,上海,021,,淮海路,延安东路至延安中路,景点,广场,121.475029,31.225573
甘泉路休闲街,上海,上海,上海,021,,中山北路/甘泉地区,甘泉路街道宜川路412号2楼,景点,步行街,121.435574,31.264374
申隆生态园,上海,上海,上海,021,57593038,奉贤区,青村镇沿钱公路5599号朱蒋村,景点,动植物园,121.573982,30.891581
仰思坪,上海,上海,上海,021,,交大闵行校区,东川路800号上海交通大学思源湖边上,景点,城市公园,121.435143,31.024548
思源湖,上海,上海,上海,021,54740000,交大闵行校区,东川路800号上海交通大学拖鞋门内,景点,自然风光,121.429756,31.02072
苏州河梦清园环保主题公园,上海,上海,上海,021,62778770,上海火车站/客运汽车总站,宜昌路66号,景点,城市公园,121.440437,31.250673
滴水湖,上海,上海,上海,021,20936951,南汇新城,环湖西路一号码头860号,景点,自然风光,121.929817,30.907259
虹口区文化馆,上海,上海,上海,021,55883890,凉城/江湾镇,水电路1412号4楼,景点,陈列馆,121.475929,31.296604
中共二大会址纪念馆,上海,上海,上海,021,63590984,淮海路,老成都北路7弄30号,景点,纪念馆,121.466698,31.224222
实华国际旅行社,上海,上海,上海,021,33070626,世博园,东方路3539号东方尚博创意产业园2号楼2508室,景点,旅行社,121.511576,31.188956
九子公园,上海,上海,上海,021,,上海火车站/客运汽车总站,成都北路1018号,景点,城市公园,121.463974,31.24048
大华行知公园,上海,上海,上海,021,,大华地区,真华路1105号,景点,城市公园,121.410225,31.277706
普陀公园,上海,上海,上海,021,52909276,中山北路/甘泉地区,光复西路241号,景点,城市公园,121.427628,31.244707
顶盛美术馆,上海,上海,上海,021,,瑞金宾馆区,瑞金二路235号,景点,美术馆,121.466972,31.207565
海尚帆友俱乐部,上海,上海,上海,021,64750889,青浦区,绿湖路301弄66号上海水上运动中心内,景点,帆船,121.007288,31.108741
上海基督教景灵堂,上海,上海,上海,021,63243021,海宁路/七浦路,昆山路135号,景点,宗教,121.487946,31.249319
莘城中央公园,上海,上海,上海,021,54152600,莘庄,闵城路180号,景点,城市公园,121.386734,31.105087
美兰湖景区,上海,上海,上海,021,56591208,美兰湖,罗店镇年吉路358弄4号,景点,城市公园,121.356277,31.400124
上海汽车会展中心,上海,上海,上海,021,69550222,安亭镇,博园路7575号,景点,陈列馆,121.168251,31.278456
陈云纪念馆,上海,上海,上海,021,59257178;59255052,青浦区,练塘镇朱枫公路3516号,景点,纪念馆,121.044174,31.007107
上海中旅杨休国际旅行社有限公司,上海,上海,上海,021,65800361;65695793,平凉路/东外滩,济宁路201号,景点,旅行社,121.522787,31.260764
南汇嘴观海公园,上海,上海,上海,021,,滴水湖临港地区,南汇新城镇世纪塘路,景点,城市公园,121.971703,30.881241
锦江旅游,上海,上海,上海,021,54941821,莘庄,莘东路320号,景点,旅行社,121.376339,31.110155
塘桥公园,上海,上海,上海,021,,塘桥,东方路1260号,景点,城市公园,121.528225,31.217006
山水传画廊,上海,上海,上海,021,,打浦桥/田子坊,泰康路田子坊210弄220号10室,景点,展览馆,121.469276,31.207926
汇龙潭,上海,上海,上海,021,59532604,嘉定镇,沙霞路68号,景点,自然风光,121.253876,31.381136
1933老场坊,上海,上海,上海,021,68881933,四川北路/海伦路,溧阳路611号,景点,历史建筑,121.491821,31.254551
吴淞开埠纪念广场,上海,上海,上海,021,,淞滨地区,淞兴路与同泰路交叉口旁,景点,纪念公园,121.498749,31.372124
尚街LOFT,上海,上海,上海,021,64715665,肇嘉浜路/中山医院,嘉善路508号,景点,创意园区,121.459763,31.204605
董家渡天主堂,上海,上海,上海,021,63787214,董家渡/南浦大桥,中山南路与董庄路交口西侧,景点,宗教,121.504494,31.214666
上海禁毒科普教育馆,上海,上海,上海,021,63533334,上海火车站/客运汽车总站,汉中路188号中4楼,景点,展览馆,121.457703,31.241842
九亭文化广场,上海,上海,上海,021,,九亭,九亭大街,景点,广场,121.329964,31.130585
周浦公园,上海,上海,上海,021,58155621,康桥/周浦,周邓公路6851号,景点,城市公园,121.597107,31.112631
友谊公园,上海,上海,上海,021,,宝山城区/吴淞,密山路98号,景点,公园/广场,121.479641,31.400182
南浦大桥,上海,上海,上海,021,33765779,董家渡/南浦大桥,南浦大桥,景点,现代建筑,121.505562,31.2054
土山湾美术馆,上海,上海,上海,021,64388761,万体馆,田林街道田林东路8号3楼,景点,美术馆,121.434357,31.174858
新源路步行街,上海,上海,上海,021,,川沙,新源路,景点,步行街,121.697212,31.194471
140平方米画廊,上海,上海,上海,021,,音乐学院/五官科医院,复兴中路1331号26室,景点,美术馆,121.452667,31.211178
1918艺术空间,上海,上海,上海,021,52286776,南京西路,昌平路78号,景点,展览馆,121.453413,31.239063
M97画廊,上海,上海,上海,021,62661597,上海火车站/客运汽车总站,昌平路363号ANKENAlley安垦里弄4栋2楼,景点,展览馆,121.448891,31.236521
安杰当代艺术画廊,上海,上海,上海,021,52286289,南京西路,茂名北路39号,景点,展览馆,121.460702,31.22454
原曲画廊,上海,上海,上海,021,64650045,青浦城区,公园路629东原大厦18楼,景点,展览馆,121.113716,31.147589
凉城公园,上海,上海,上海,021,65299547,凉城/江湾镇,凉城路800号,景点,城市公园,121.471909,31.297918
新虹桥中心花园,上海,上海,上海,021,62753869,虹桥/古北,延安西路2238号,景点,城市公园,121.404755,31.200259
崇明岛国家地质公园,上海,上海,崇明区,021,39633635,西沙湿地,绿华镇堡湖路,景点,自然风光,121.231422,31.726732
上海嘉运国际旅行社有限公司,上海,上海,上海,021,59529888,嘉定镇,清河路119-3号,景点,旅行社,121.245343,31.382883
虹桥公园,上海,上海,上海,021,62599446,虹桥/古北,遵义路101号,景点,公园/广场,121.405556,31.206123
番禺绿地,上海,上海,上海,021,,徐家汇,虹桥路637号,景点,城市公园,121.42662,31.19604
庄行潘垫园区,上海,上海,上海,021,,庄行镇,庄行镇潘垫村,景点,特色乡村,121.406143,30.878973
青浦城隍庙,上海,上海,上海,021,59738889,青浦城区,青浦镇公园路650号,景点,宗教,121.11338,31.148712
南京路步行街,上海,上海,上海,021,51099782,南京东路,南京东路558号,景点,步行街,121.479507,31.235992
南汇桃花村,上海,上海,上海,021,58019595;58000521,惠南镇,惠南镇北门路289号（近拱为路）,景点,特色乡村,121.752106,31.060942
闵行公园,上海,上海,上海,021,54700663,老闵行/交大师大,沪闵路249号,景点,城市公园,121.424713,31.008539
上海淞沪抗战纪念馆,上海,上海,上海,021,66786377,宝山城区/吴淞,友谊路1号淞沪抗战纪念公园内（近东林路）,景点,纪念馆,121.495485,31.409711
2577创意大院,上海,上海,上海,021,64380516,龙华/西岸,龙华街道龙华路2577号（近龙华寺）,景点,创意园区,121.451424,31.177698
静安雕塑公园,上海,上海,上海,021,52289562,南京西路,石门二路街道石门二路128号（近北京西路）,景点,文化公园,121.463654,31.234901
霍山公园,上海,上海,上海,021,65453000,北外滩/外白渡桥,霍山路118号,景点,城市公园,121.511101,31.253428
闵行博物馆,上海,上海,上海,021,64880567,七宝,新镇路1538号,景点,博物馆,121.359146,31.160784
南园滨江绿地,上海,上海,上海,021,63038324,西藏南路/世博会馆,五里桥街道龙华东路800号（打浦路口）,景点,城市公园,121.47509,31.191574
铁路国际旅行社,上海,上海,上海,021,,北外滩/外白渡桥,东大名路359号华联集团大厦裙楼2楼,景点,旅行社,121.495891,31.247248
吴泾公园,上海,上海,上海,021,64528472,吴泾镇,剑川路2号,景点,城市公园,121.477516,31.046812
航华公园,上海,上海,上海,021,64200282,七宝,航新路600号,景点,公园/广场,121.347832,31.174311
华漕公园,上海,上海,上海,021,62204286,虹桥火车站/国展中心,华漕镇东华美路5号,景点,城市公园,121.333092,31.219736
黎安公园,上海,上海,上海,021,64599037,莘庄,秀文路118号,景点,城市公园,121.380096,31.129765
瀛洲公园,上海,上海,崇明区,021,69691116,南门,城桥镇鳌山路679号,景点,城市公园,121.401733,31.616966
古钟园,上海,上海,上海,021,58010287,惠南镇,惠南镇中山路39号,景点,园林,121.75293,31.04388
珠溪园,上海,上海,上海,021,59240807,朱家角/东方绿舟,朱家角镇凝浜路332号,景点,城市公园,121.061104,31.110352
思贤公园,上海,上海,上海,021,57827380,松江镇,思贤路北侧,景点,城市公园,121.223442,31.030247
泗泾公园,上海,上海,上海,021,57614543,泗泾镇,泗泾镇江川北路,景点,城市公园,121.275154,31.114069
枫溪公园,上海,上海,上海,021,57357429,枫泾镇,枫泾镇新枫路45号,景点,城市公园,121.017708,30.885557
亭林公园,上海,上海,上海,021,57237333,亭林镇,亭林镇华亭路77号,景点,城市公园,121.312515,30.881987
荟萃园,上海,上海,上海,021,,金山卫,石化街道大堤路208号,景点,公园/广场,121.339752,30.709911
滨海公园,上海,上海,上海,021,57931120,金山卫,石化街道新城路16号,景点,城市公园,121.345726,30.706999
古松园,上海,上海,上海,021,67230555,亭林镇,亭林镇复兴东路106号,景点,公园/广场,121.317192,30.882261
金山公园,上海,上海,上海,021,57311036,朱泾镇,朱泾镇公园路96号,景点,城市公园,121.162422,30.892042
张堰公园,上海,上海,上海,021,57273033,金山区,张堰镇花贤路69号,景点,城市公园,121.283371,30.803637
泾南公园,上海,上海,上海,021,,洋泾,羽山路850号,景点,城市公园,121.553528,31.235651
南浦广场公园,上海,上海,上海,021,58894432,塘桥,浦东南路2277号,景点,城市公园,121.515259,31.203135
梅园公园,上海,上海,上海,021,,源深体育中心,乳山路180号,景点,城市公园,121.526588,31.236353
民星公园,上海,上海,上海,021,65575047,中原地区,殷行街道嫩江路1111号（近中原路）,景点,城市公园,121.534515,31.31373
工农公园,上海,上海,上海,021,65057736,中原地区,包头路929号,景点,城市公园,121.537727,31.325777
延春公园,上海,上海,上海,021,55237505,黄兴公园,营口路20号,景点,城市公园,121.535843,31.288269
惠民公园,上海,上海,上海,021,65413628,平凉路/东外滩,惠民路724号,景点,公园/广场,121.522522,31.258345
平凉公园,上海,上海,上海,021,65430642,平凉路/东外滩,平凉路1738号,景点,文化公园,121.542603,31.266708
波阳公园,上海,上海,上海,021,65681664,平凉路/东外滩,波阳路200号,景点,城市公园,121.551599,31.272237
三泉公园,上海,上海,上海,021,56482588,彭浦新村,保德路1200号,景点,城市公园,121.447044,31.315527
岭南公园,上海,上海,上海,021,56653804,彭浦新村,汾西路600号,景点,城市公园,121.456215,31.314564
交通公园,上海,上海,上海,021,,大悦城,新马路262号,景点,公园/广场,121.46743,31.247475
真光公园,上海,上海,上海,021,52784762,普陀区,真光路1865号,景点,城市公园,121.38504,31.253979
海棠公园,上海,上海,上海,021,,梅川路步行街,武宁路2650号,景点,公园/广场,121.390175,31.247448
甘泉公园,上海,上海,上海,021,,中山北路/甘泉地区,西乡路100号,景点,公园/广场,121.428169,31.267282
管弄公园,上海,上海,上海,021,62147620,中山北路/甘泉地区,管弄路29号,景点,城市公园,121.427528,31.257702
沪太公园,上海,上海,上海,021,56616765,大宁地区,新村路37号,景点,城市公园,121.439354,31.268068
宜川公园,上海,上海,上海,021,56091770,中山北路/甘泉地区,宜川路99号,景点,城市公园,121.440872,31.260326
兰溪青年公园,上海,上海,上海,021,62547327,曹杨地区,兰溪路152号,景点,纪念公园,121.404808,31.240873
曹杨公园,上海,上海,上海,021,62547793,曹杨地区,枫桥路50号,景点,城市公园,121.408897,31.240026
西康公园,上海,上海,上海,021,62893124,静安寺,西康路255号,景点,城市公园,121.449832,31.230134
新泾公园,上海,上海,上海,021,62394714,北新泾/淞虹路,天山西路455号,景点,城市公园,121.362083,31.217068
华山绿地,上海,上海,上海,021,62813135,上海影城/新华路,华山路1500号,景点,城市公园,121.43264,31.206724
丽园公园,上海,上海,上海,021,64157108,打浦桥/田子坊,丽园路与局门路交叉口西北角,景点,城市公园,121.478813,31.207338
水生园,上海,上海,上海,021,64622368,老闵行/交大师大,东川路3366号,景点,公园/广场,121.373329,31.003778
四平科技公园,上海,上海,上海,021,65101142,五角场/大学区,四平路1777号,景点,城市公园,121.506218,31.287646
黄浦旅游集散站,上海,上海,上海,021,4008872626,董家渡/南浦大桥,外马路1588号,景点,更多景点/周边游,121.501053,31.207775
高东公园,上海,上海,上海,021,,高东/杨园,光灿路118号,景点,城市公园,121.625641,31.327402
圆明讲堂,上海,上海,上海,021,62483968,静安寺,延安西路458号,景点,宗教,121.43782,31.217901
南岸艺术中心,上海,上海,上海,021,,大悦城,南苏州路1247号（近乌镇路桥）,景点,美术馆,121.466492,31.240124
博乐广场,上海,上海,上海,021,59921730,嘉定镇,博乐路博乐广场,景点,广场,121.252136,31.384096
嘉定紫藤园,上海,上海,上海,021,,嘉定镇,博乐路45号,景点,纪念公园,121.25872,31.379625
沐恩堂,上海,上海,上海,021,63225069,人民广场/南京路,西藏中路316号,景点,宗教,121.475845,31.233276
菩提禅寺,上海,上海,上海,021,59561065,安亭镇,安亭镇永安街422号,景点,宗教,121.151138,31.298559
上航旅游,上海,上海,上海,021,66867961,美兰湖,罗店镇祁北东路250号,景点,旅行社,121.349441,31.421811
上航旅游,上海,上海,上海,021,62524466,中山公园/江苏路,江苏路595-597号,景点,旅行社,121.432989,31.214889
上航旅游,上海,上海,上海,021,53020561;53012312,打浦桥/田子坊,鲁班路721弄1号1楼,景点,旅行社,121.47822,31.197035
上航旅游,上海,上海,上海,021,52759312;52759321,梅川路步行街,真光路,景点,旅行社,121.382844,31.246924
锦江国际集团●上海国旅,上海,上海,上海,021,62894512;62893495,南京西路,北京西路1277号国旅大厦大厅,景点,旅行社,121.451065,31.228725
锦江旅游,上海,上海,上海,021,58831188,上南地区,昌里路134号,景点,旅行社,121.499046,31.174796
