名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
来啊旅行,福建,厦门,厦门,0592,8334334;189****2345,大学康城/杏林湾,杏林湾路366号,景点,旅行社,118.058581,24.593431
来啊旅行,福建,厦门,厦门,0592,8334334;189****2345,枋湖,金湖路5号,景点,旅行社,118.139536,24.509236
来啊旅行,福建,厦门,厦门,0592,8334334;189****2345,火车站,湖滨东路6号华龙大厦1601室,景点,旅行社,118.11445,24.47032
海上超跑体验,福建,厦门,厦门,0592,157****2628,会展中心,展鸿路82号,景点,出海,118.191672,24.471665
香山扬帆游艇帆船出海俱乐部,福建,厦门,厦门,0592,187****8661,软件园,环岛东路3009号香山国际游艇码头（妈祖文化广场）西北门,景点,出海,118.19497,24.477226
英雄三岛,福建,厦门,厦门,0592,,大嶝岛,环嶝南路,景点,自然景观,118.328911,24.54327
厦门五缘通帆船出海俱乐部,福建,厦门,厦门,0592,5780526;180****5221,五缘湾,五缘东里56号B102室,景点,出海,118.182831,24.532192
渔人码头游乐园,福建,厦门,厦门,0592,136****0503,海沧区,海沧大道908号,景点,主题公园,118.063248,24.497548
五通码头游海帆船俱乐部,福建,厦门,厦门,0592,133****6728;136****4558,五缘湾,环岛东路五通码头,景点,游艇,118.190063,24.531908
去啊旅游,福建,厦门,厦门,0592,186****8618,莲坂/明发商业广场,莲前西路明发商业广场南区380号,景点,旅行社,118.123252,24.477422
九架厝战地民俗园,福建,厦门,厦门,0592,7299331,大嶝岛,大嶝街道山头里137号,景点,更多景点/周边游,118.333458,24.555958
颠倒博物馆,福建,厦门,厦门,0592,2091120,中华城,中山路318号宏辉大厦2楼,景点,展览馆,118.083038,24.454103
黑帆游艇俱乐部,福建,厦门,厦门,0592,133****7377,五缘湾,五缘湾运动馆1栋,景点,游艇,118.181732,24.531004
普西尼游艇俱乐部,福建,厦门,厦门,0592,5736536;139****3666,五缘湾,"福建省厦门市湖里区五缘湾文化展览苑A区5-6栋
恒安国际1908",景点,出海,118.171165,24.528074
爱尚游旅游有限公司,福建,厦门,厦门,0592,157****4677,东孚商业圈,东孚街道102号,景点,旅行社,117.931154,24.556853
爱尚游旅游有限公司,福建,厦门,厦门,0592,157****4677,厦门北站,后溪镇岩通路,景点,旅行社,118.073983,24.634904
爱尚游旅游有限公司,福建,厦门,厦门,0592,157****4677,中山路/轮渡,中山路1号,景点,旅行社,118.075149,24.453829
厦门丽田园休闲农庄,福建,厦门,厦门,0592,7030969;189****2883,同安区,莲花镇云洋村溪墘自然村,景点,旅游项目/观光项目,118.077271,24.780319
伟勒游艇,福建,厦门,厦门,0592,5771778;180****9988,高崎机场,安岭路1008号丰润金融控股A座305室,景点,游艇,118.163171,24.530681
新城市民广场,福建,厦门,厦门,0592,,大学康城/杏林湾,集美新城西亭中心区内市民广场,景点,广场,118.061905,24.592976
世茂云上厦门观光厅,福建,厦门,厦门,0592,2563326,厦门大学,演武西路188号世茂海峡大厦B栋,景点,高空观景,118.089272,24.435282
翔安马巷邻里中心游乐场,福建,厦门,厦门,0592,136****2933,翔安区,民安街道西炉路600-606号,景点,游乐场,118.202019,24.663949
鼓浪屿日本领事馆旧址,福建,厦门,鼓浪屿,0592,,鼓浪屿,鼓浪屿鹿礁路24-28号,景点,历史建筑,118.072853,24.444349
宝中旅行社,福建,厦门,厦门,0592,180****0682,中山路/轮渡,厦禾路110号,景点,旅行社,118.073294,24.459717
后滨池府龙威殿,福建,厦门,厦门,0592,,马巷,马巷街道后滨582号,景点,人文古迹,118.249779,24.656631
何厝中里,福建,厦门,厦门,0592,,马巷,大嶝街道,景点,自然景观,118.210971,24.680001
厦旅国际坂上营业部,福建,厦门,厦门,0592,5715606,高崎机场,坂上社59号西南方向40米,景点,旅行社,118.144438,24.522952
泉舜艺术馆,福建,厦门,厦门,0592,2931999,海沧商业圈,沧林东一里539号,景点,美术馆,118.052251,24.490271
环球国旅,福建,厦门,厦门,0592,,火车站,后埭溪路28号皇达大厦15楼d座,景点,旅行社,118.105537,24.47176
吉萃画廊,福建,厦门,厦门,0592,,SM广场,园山南路246号,景点,美术馆,118.125359,24.506258
留驻旅行,福建,厦门,厦门,0592,130****9306,嘉禾路,厦禾路999-5号源昌商业中心1103室,景点,旅行社,118.119232,24.473783
荒漠谷,福建,厦门,厦门,0592,,湖里大道,华泰路与悦华路交叉口东北100米,景点,自然风光,118.106071,24.513985
勾划生活·旅行·家,福建,厦门,厦门,0592,,灌口/凤泉广场,凤泉西里22,景点,旅行社,117.991117,24.608038
臻品艺术馆,福建,厦门,厦门,0592,,SM广场,园山南路272-274号,景点,美术馆,118.12606,24.506264
艾旅旅行社有限公司,福建,厦门,厦门,0592,137****7797,环岛路沿线,莲前西路599号501室,景点,旅行社,118.142987,24.478397
宝中旅游,福建,厦门,厦门,0592,,翔安区,浦园一路281号,景点,旅行社,118.232468,24.56488
华严寺,福建,厦门,厦门,0592,,厦门大学,南溪仔乾街9号,景点,宗教,118.088417,24.441911
基督教莲河堂,福建,厦门,厦门,0592,,翔安区,莲河莲新路233号,景点,宗教,118.344446,24.589066
