名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
沈阳国际旅行社,辽宁,沈阳,沈阳,024,159****8869,中街/故宫,中街路115号兴隆大家庭旅游超市,景点,旅行社,123.455275,41.800435
阳春园,辽宁,沈阳,沈阳,024,186****4346,砂山,砂阳路27号省妇婴医院附近,景点,公园/广场,123.395454,41.767097
皇寺庙会,辽宁,沈阳,沈阳,024,22531709,北站/市府,北市场街道皇寺路206号（近皇寺庙门前）,景点,宗教,123.422585,41.807808
卫工明渠,辽宁,沈阳,沈阳,024,,保工街,卫工北街与北二西路交口卫工明渠,景点,更多景点/周边游,123.343369,41.79015
大东区文化馆,辽宁,沈阳,沈阳,024,,东中街,大什字街103号,景点,展览馆,123.468545,41.800337
吉祥街景观夜市,辽宁,沈阳,沈阳,024,,大东广场,洮昌街与联合路交叉口南20米,景点,夜市,123.470886,41.823109
彩电塔夜市,辽宁,沈阳,沈阳,024,,南湖公园/三好街,彩塔街夜市,景点,夜市,123.43309,41.785179
枫露公园,辽宁,沈阳,沈阳,024,,大东广场,联合路枫露公园,景点,公园/广场,123.466911,41.819881
古陨石山森林公园,辽宁,沈阳,沈阳,024,24232184,浑南区,李相镇滑石台村,景点,森林公园,123.64469,41.61498
南运河带状公园,辽宁,沈阳,沈阳,024,22821999,奉天街沿线,风雨坛街道西滨河路28号,景点,公园/广场,123.431053,41.782272
绿岛森林公园,辽宁,沈阳,沈阳,024,,苏家屯区,梧桐街1号,景点,森林公园,123.54009,41.62674
康乐公园,辽宁,沈阳,沈阳,024,,铁西广场,南六东路52号,景点,公园/广场,123.372734,41.791473
砂山公园,辽宁,沈阳,沈阳,024,23371426,砂山,南京南街182号,景点,公园/广场,123.389275,41.7705
金山公园,辽宁,沈阳,沈阳,024,,苏家屯客运站,桂花街,景点,公园/广场,123.333755,41.676941
龙泉山森林公园,辽宁,沈阳,沈阳,024,,浑南区,沈祝线旁,景点,森林公园,123.712662,41.678112
烈士塔公园,辽宁,沈阳,辽中区,024,,北一路,东环街267号,景点,公园/广场,122.742744,41.516106
怒江公园,辽宁,沈阳,沈阳,024,62610889,怒江北街,南十二西路1号,景点,公园/广场,123.392067,41.840405
苏家屯劳动公园,辽宁,沈阳,沈阳,024,89814247,苏家屯区政府,青松路4号,景点,公园/广场,123.348358,41.669937
黄海公园,辽宁,沈阳,沈阳,024,25301020,于洪广场,洪湖南街,景点,公园/广场,123.312187,41.788021
碧塘公园,辽宁,沈阳,沈阳,024,,北行/辽大,长江街15号,景点,公园/广场,123.41555,41.820358
带状公园,辽宁,沈阳,辽中区,024,,辽中区其他,北环路与商业街交汇处,景点,公园/广场,122.736824,41.519173
沈阳国际建材展示馆,辽宁,沈阳,沈阳,024,,东中街,小河沿路城建东逸花园,景点,展览馆,123.482626,41.790176
四方蓝天国际旅行社,辽宁,沈阳,沈阳,024,23256930,太原街,中华路121号甲,景点,旅行社,123.409873,41.787835
金运之旅,辽宁,沈阳,沈阳,024,86221419,北陵,黄河大街78号乐购超市1楼西北侧,景点,旅行社,123.41978,41.83501
中国青年旅行社,辽宁,沈阳,辽中区,024,,辽中区其他,商业街与电业巷交叉路口西侧,景点,旅行社,122.731651,41.504731
康辉国际旅行社,辽宁,沈阳,沈阳,024,,东中街,大东路旁,景点,旅行社,123.471666,41.796816
中国旅行社,辽宁,沈阳,沈阳,024,23999255,浑南新区,青年大街28号,景点,旅行社,123.43355,41.76861
好运旅行社,辽宁,沈阳,新民市,024,85715799,新民市中心城区,辽河大街135号新民迎宾馆1楼,景点,旅行社,122.828037,41.992627
友好旅行社,辽宁,沈阳,沈阳,024,22871919,太原街,民族南街66号温州城A5（近交通银行）,景点,旅行社,123.396231,41.791274
沈阳客运天天旅行社,辽宁,沈阳,沈阳,024,138****0997;138****5717,太原街,南京南街1甲号（1412）欧亚联营14F,景点,旅行社,123.405209,41.788929
汇点国际旅行社,辽宁,沈阳,沈阳,024,,南市/马路湾,十一纬路82号皇城酒店公寓,景点,旅行社,123.421455,41.790059
国奥旅行社,辽宁,沈阳,沈阳,024,,苏家屯区政府,迎春街135号9门,景点,旅行社,123.342604,41.659304
海外国际旅行社,辽宁,沈阳,沈阳,024,23261701,北站/市府,北京街21号许兄弟大厦,景点,旅行社,123.453644,41.814964
沈阳东方旅行社,辽宁,沈阳,沈阳,024,84825266,长青街,文化东路52号,景点,旅行社,123.471759,41.769169
安运旅行社,辽宁,沈阳,沈阳,024,25937110,滑翔小区,沈辽东路75号,景点,旅行社,123.362579,41.780699
中国旅行社,辽宁,沈阳,沈阳,024,22818612,太原街,太原街街道中山路97甲升龙大厦5楼B507室,景点,旅行社,123.409452,41.796213
国际商务旅行社,辽宁,沈阳,沈阳,024,,北站/市府,北京街21号许兄弟大厦817室,景点,旅行社,123.43137,41.81002
美好时光旅行社,辽宁,沈阳,沈阳,024,23240651,太原街,中华路121甲SOHO新天地1917室,景点,旅行社,123.410016,41.787726
中国旅行社,辽宁,沈阳,沈阳,024,22844133;159****0123,西塔/北市场,南京北街109号和泰运恒国际大厦A座1305室,景点,旅行社,123.412339,41.798579
中国旅行社,辽宁,沈阳,沈阳,024,86852694,南市/马路湾,和平北大街94号星光大厦11层1101室,景点,旅行社,123.415095,41.793025
神州旅行社,辽宁,沈阳,沈阳,024,158****5858,北行/辽大,岐山中路1号东机大厦903室,景点,旅行社,123.427567,41.823326
长白山旅行社,辽宁,沈阳,沈阳,024,83959868,南湖公园/三好街,南湖街道三好街136号新世界丰盛商务大厦11楼,景点,旅行社,123.423104,41.758204
华远旅行社,辽宁,沈阳,沈阳,024,23229699,太原街,南京南街52号鸿源大厦,景点,旅行社,123.401677,41.785617
佳信旅行社,辽宁,沈阳,沈阳,024,,长青街,长青街35号万泉商务大厦1层,景点,旅行社,123.474575,41.781414
中国旅行社,辽宁,沈阳,沈阳,024,89101066,苏家屯区政府,枫杨路78号房产大厦(枫杨路)1楼左侧,景点,旅行社,123.345466,41.661356
青年国际旅行社,辽宁,沈阳,沈阳,024,,北站/市府,北站路112号瑞心东方酒店1136室,景点,旅行社,123.440485,41.818635
中国国旅,辽宁,沈阳,沈阳,024,22595707;22595717,南市/马路湾,南三经街71号,景点,旅行社,123.427556,41.783716
中国旅行社,辽宁,沈阳,沈阳,024,83251245;137****1425,南市/马路湾,十四纬路17号,景点,旅行社,123.426517,41.783057
中国旅行社总社,辽宁,沈阳,沈阳,024,31223325,北行/辽大,歧山中路50号,景点,旅行社,123.414177,41.823057
园林国际旅行社,辽宁,沈阳,沈阳,024,62467158,五爱市场,热闹路60号甲,景点,旅行社,123.450216,41.788266
沈阳书画院,辽宁,沈阳,沈阳,024,22515763,西塔/北市场,总站路115号,景点,美术馆,123.428139,41.809998
沈阳科学宫,辽宁,沈阳,沈阳,024,23978049;23978016,五里河,青年大街201号科学宫,景点,科技馆,123.436166,41.761686
辽宁工业展览馆,辽宁,沈阳,沈阳,024,83939308,南湖公园/三好街,彩塔街38号工业展览馆2楼东楼,景点,展览馆,123.43367,41.773258
辽宁省农业展览馆,辽宁,沈阳,沈阳,024,31025015,东陵路/沈阳农业大学,马官桥街道东陵路78号,景点,博物馆,123.550407,41.822971
沈阳当代美术馆,辽宁,沈阳,沈阳,024,24857023,中街/故宫,沈阳路135号,景点,美术馆,123.454292,41.797474
舍利塔滩地公园,辽宁,沈阳,沈阳,024,,塔湾,舍利塔街道塔湾街,景点,公园/广场,123.38002,41.834026
大法寺,辽宁,沈阳,沈阳,024,81748923,大东广场,边墙路112号,景点,宗教,123.4617,41.817685
护国延寿寺,辽宁,沈阳,沈阳,024,22821999,西塔/北市场,北市场街道敦化一路55-2号西南80米,景点,宗教,123.408722,41.805084
沈阳城市规划展示馆,辽宁,沈阳,沈阳,024,31378969,浑南新区,五爱街156号,景点,陈列馆,123.441071,41.75972
春秋航空旅游网,辽宁,沈阳,沈阳,024,95524,,www.China-sss.com,景点,旅行社,0.0001,0.0001
兴隆堡温泉,辽宁,沈阳,新民市,024,,新民市其他,兴隆堡镇,景点,温泉,123.070679,41.91164
大东广场,辽宁,沈阳,沈阳,024,,大东广场,大北关街36-1号,景点,广场,123.463852,41.81871
重型文化广场,辽宁,沈阳,沈阳,024,,北一路万达,兴华北街与北一中路交叉口西南100米,景点,广场,123.383133,41.812916
辽沈晚报文化广场,辽宁,沈阳,沈阳,024,,吉祥市场,市政府,景点,广场,123.469429,41.824177
中街步行街,辽宁,沈阳,沈阳,024,31655128,中街/故宫,津桥街道东中街,景点,步行街,123.465088,41.801422
夏芳园,辽宁,沈阳,沈阳,024,,小河沿,万泉街,景点,公园/广场,123.468315,41.790119
辛巴达欢乐城堡,辽宁,沈阳,沈阳,024,31982223,东中街,滂江街22号龙之梦购物中心8层,景点,主题乐园,123.48674,41.807285
沈阳建筑大学商业街,辽宁,沈阳,沈阳,024,,浑南新区,浑南东路9号沈阳建筑大学内,景点,观光街区,123.517083,41.745133
沈阳建筑大学建筑博物馆,辽宁,沈阳,沈阳,024,,浑南新区,五三街道浑南东路9号,景点,博物馆,123.513412,41.746056
保利·双河城公园,辽宁,沈阳,沈阳,024,,东陵路/沈阳农业大学,东陵街道东陵西路29号新宁街,景点,公园/广场,123.540573,41.809296
凯撒旅游沈阳分站,辽宁,沈阳,沈阳,024,31379689,文艺路/文化路,青年大街288号华润大厦11楼1105-1106室,景点,旅行社,123.43483,41.777031
营城子大街基督教堂,辽宁,沈阳,沈阳,024,,浑南区,营城子大街,景点,宗教,123.633147,41.714757
中国旅行社,辽宁,沈阳,沈阳,024,86083856,北行/辽大,长江街62号,景点,旅行社,123.412271,41.824631
客运天天旅行社,辽宁,沈阳,沈阳,024,130****9629,北站/市府,北站路77号光达大厦C座15楼8号,景点,旅行社,123.437087,41.815567
旅游观光巴士,辽宁,沈阳,沈阳,024,66890630,北陵,新乐街道黄河南大街105号辽宁大厦（近南风大剧院）,景点,城市观光,123.423462,41.83918
爱琴谷,辽宁,沈阳,沈阳,024,,沈北新区,马刚街道铁营子村收藏搜周边发送到手机,景点,自然风光,123.694036,42.003386
名流旅行社,辽宁,沈阳,沈阳,024,66774405;88618711,东中街,万泉街道珠林路90号13门,景点,旅行社,123.48391,41.80931
纵横国际旅行社,辽宁,沈阳,沈阳,024,130****0222,南市/马路湾,十一纬路云集东巷32号皇城经纬公寓B座4楼,景点,旅行社,123.42054,41.788525
虎跃旅行社,辽宁,沈阳,沈阳,024,62435888,中街/故宫,广宜街2号4门,景点,旅行社,123.446966,41.805486
爱新觉罗皇家博物院,辽宁,沈阳,法库县,024,138****3619,法库县其他,大孤家子镇半拉山村（大孤家子镇）,景点,博物馆,123.30822,42.333073
1905文化创意园,辽宁,沈阳,沈阳,024,62781520;4000241905,北二路,兴华北街1905-8号门,景点,创意园区,123.382446,41.81245
彩丰山庄,辽宁,沈阳,沈阳,024,131****5603,浑南区,高望线,景点,更多景点/周边游,123.727516,41.913216
金运之旅,辽宁,沈阳,沈阳,024,96677,长白岛,长白西路,景点,旅行社,123.391171,41.746221
青年国际旅行社,辽宁,沈阳,沈阳,024,,铁西广场,兴华南街5号鲁尔大厦17层,景点,旅行社,123.37044,41.792702
吉祥寺,辽宁,沈阳,法库县,024,,大卖场,兴法路33号,景点,宗教,123.416168,42.507374
国际商务旅行社,辽宁,沈阳,沈阳,024,,南市/马路湾,十一纬路12号银基发展中心20层2003室,景点,旅行社,123.41511,41.788581
小东路群众艺术馆,辽宁,沈阳,沈阳,024,88721248,东中街,小东路234号,景点,美术馆,123.476471,41.80545
皇寺广场,辽宁,沈阳,沈阳,024,,西塔/北市场,南京北街,景点,宗教,123.426216,41.807323
沈阳北国旅行社,辽宁,沈阳,沈阳,024,62422515,北站/市府,惠工广场,景点,旅行社,123.440134,41.813636
九洲假日国际旅行社,辽宁,沈阳,沈阳,024,86083199;86083788,奉天街沿线,奉天街346号格林自由城B座1611室,景点,旅行社,123.442024,41.808292
方家栏基督教会,辽宁,沈阳,沈阳,024,,长青街,方兴路6-2号3门,景点,宗教,123.497716,41.777036
周恩来少年读书旧址区,辽宁,沈阳,沈阳,024,62437085,中街/故宫,万泉街道大东路育才巷10号,景点,古代遗迹,123.466042,41.794872
中山路欧风街,辽宁,沈阳,沈阳,024,,太原街,南市场街道广州街与桂林街交叉口东100米,景点,步行街,123.411705,41.797028
青华国旅,辽宁,沈阳,沈阳,024,23783139;130****8100,浑南新区,新隆街2甲-2号君汇中心,景点,旅行社,123.456362,41.720472
金运之旅,辽宁,沈阳,沈阳,024,96677,文艺路/文化路,文化路家乐福2楼,景点,旅行社,123.437119,41.770676
虎石台公园,辽宁,沈阳,沈阳,024,,虎石台,虎石台镇,景点,公园/广场,123.515022,41.942184
长寿园,辽宁,沈阳,新民市,024,,新民市其他,304国道,景点,更多景点/周边游,122.961746,42.009716
三道岗子乡基督教活动点,辽宁,沈阳,新民市,024,,新民市其他,郭三线基督教堂（郭三线）附近,景点,宗教,123.122322,42.079269
好运旅行社,辽宁,沈阳,新民市,024,87515799,新民市中心城区,南市西路5号网点东6号,景点,旅行社,122.827751,41.989871
新开河公园,辽宁,沈阳,新民市,024,,新民市其他,东郊路与102国道交叉口南150米,景点,公园/广场,122.851112,42.003754
沈阳市新民城区基督教堂,辽宁,沈阳,新民市,024,,新民市其他,102国道,景点,宗教,122.823571,42.009873
农业百科园,辽宁,沈阳,新民市,024,,新民市其他,姜张线（沈阳三农博览园对面）,景点,科技馆,122.782654,42.137547
三圣寺,辽宁,沈阳,新民市,024,,新民市其他,姜张线,景点,宗教,122.784988,42.139297
新民基督教堂,辽宁,沈阳,新民市,024,,新民市其他,郭三线与彭双线交叉路口往东北约250米,景点,宗教,123.121642,42.078932
海佛林,辽宁,沈阳,新民市,024,,新民市中心城区,中兴西路92-3号,景点,景点/周边游,122.824242,41.99313
三圣苑,辽宁,沈阳,新民市,024,,新民市其他,姜张线,景点,更多景点/周边游,122.783073,42.139912
湖滨公园,辽宁,沈阳,新民市,024,,新民市中心城区,南环东路,景点,公园/广场,122.840378,41.993633
辽滨塔,辽宁,沈阳,新民市,024,,新民市其他,辽滨村,景点,历史建筑,123.066185,42.136784
战友旅行社,辽宁,沈阳,新民市,024,,新民市其他,102国道附近,景点,旅行社,123.1491,41.7887
新联旅行社有限责任公司,辽宁,沈阳,新民市,024,,新民市其他,铁北西路,景点,旅行社,122.81581,42.00718
辽河东基督教福音堂,辽宁,沈阳,新民市,024,,新民市其他,304国道,景点,宗教,123.016708,41.960537
新民市烈士陵园,辽宁,沈阳,新民市,024,87853627,新民市其他,工人大路,景点,烈士陵园,122.841339,42.014534
