名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
嘉宾公园,广东,深圳,深圳,0755,,宝安南路沿线,宝安南路1881号万象城对面,景点,城市公园,114.112251,22.53829
龙华公园,广东,深圳,深圳,0755,,龙华,人民路4279号,景点,城市公园,114.017014,22.657192
塘朗山公园,广东,深圳,深圳,0755,26798753;26798063,西丽,龙珠六路桃源村对面,景点,城市公园,113.982262,22.563883
梅林公园,广东,深圳,深圳,0755,83507209,梅林,梅林街道梅亭路14号,景点,公园/广场,114.041176,22.57078
春江游乐求水山景区游乐场,广东,深圳,深圳,0755,28751858;28781858,布吉街/东站,龙山路南岭村求水山公园内,景点,游乐场,114.14283,22.598297
福田体育公园,广东,深圳,深圳,0755,23810009,沙头,福强路（近沙嘴路）,景点,城市公园,114.036079,22.526026
松坪山公园,广东,深圳,深圳,0755,82437763,科技园,乌石头路9号,景点,城市公园,113.94732,22.558487
海富社区公园,广东,深圳,深圳,0755,,海雅缤纷城,大道与创业一路交汇处,景点,城市公园,113.891726,22.559439
围岭公园,广东,深圳,深圳,0755,25519099,布吉街/东站,太白路1040号,景点,城市公园,114.127518,22.58252
沁园,广东,深圳,深圳,0755,27758042,海雅缤纷城,宝民一路与湖滨路交叉口北50米,景点,城市公园,113.910149,22.55419
相思林公园,广东,深圳,深圳,0755,,银湖/泥岗,清水河街道银湖路东200米,景点,公园/广场,114.078992,22.580331
西乡公园,广东,深圳,深圳,0755,,西乡,荔园路北侧附近,景点,城市公园,113.881111,22.577108
吉夏公园,广东,深圳,深圳,0755,83268459;83351952,布吉街/东站,深惠公路吉夏村树山背路,景点,城市公园,114.142669,22.619557
龙城公园,广东,深圳,深圳,0755,,龙岗中心城区,清林路与爱心路交界处,景点,城市公园,114.226021,22.712416
红花山公园,广东,深圳,深圳,0755,,公明,振明路88号,景点,城市公园,113.901192,22.780827
燕晗山郊野公园,广东,深圳,深圳,0755,84296108,华侨城,侨城东街6号,景点,城市公园,113.986689,22.540878
彩田公园,广东,深圳,深圳,0755,,梅林,北环大道入口与彩田路交叉口东150米,景点,城市公园,114.064967,22.562927
东和法治文化主题公园,广东,深圳,深圳,0755,,沙头角,沙头角海涛路,景点,文化公园,114.233177,22.547087
新安公园,广东,深圳,深圳,0755,,新安,新安二路与前进一路交口,景点,城市公园,113.911804,22.563419
园科公园,广东,深圳,深圳,0755,26580698,翠竹路沿线,东门北路2070号,景点,城市公园,114.135376,22.558252
横岗人民公园,广东,深圳,深圳,0755,26614818,横岗,横岗街道龙岗大道横岗段5014号,景点,城市公园,114.209274,22.646765
下村公园,广东,深圳,深圳,0755,,公明,公明街道下村社区水贝路128号,景点,城市公园,113.884781,22.791325
文心公园,广东,深圳,深圳,0755,26055152,海岸城/保利,海德三道茂业百货南山店北门,景点,公园/广场,113.930382,22.521126
上川公园,广东,深圳,深圳,0755,,新安,新安街道上川路,景点,城市公园,113.902431,22.579094
茂盛公园,广东,深圳,深圳,0755,28691871,横岗,横岗镇茂盛路,景点,城市公园,114.202276,22.652847
