名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
福海公园,北京,北京,北京,010,,大红门,南苑路辅路旁,景点,城市公园,116.40203,39.847151
古城公园,北京,北京,北京,010,68878597,古城/八角,古城南路1号,景点,公园/广场,116.193298,39.911762
古塔公园,北京,北京,北京,010,,王四营,高碑店路（近王四营路）,景点,公园/广场,116.535355,39.878349
北京国际雕塑公园,北京,北京,北京,010,68650422,鲁谷,石景山路2号,景点,文化公园,116.244728,39.905926
昊天公园,北京,北京,北京,010,69354447,良乡,东关街73号,景点,公园/广场,116.154687,39.73367
黑山公园,北京,北京,门头沟区,010,69842990,门头沟城区,黑山大街12号,景点,城市公园,116.096512,39.940758
红领巾公园,北京,北京,北京,010,85810901,十里堡,六里屯街道后八里庄5号,景点,城市公园,116.491318,39.925747
槐房钓鱼公园,北京,北京,北京,010,,大红门,南苑乡槐房村,景点,城市公园,116.378548,39.818714
黄渠公园,北京,北京,北京,010,65754850,定福庄,平房乡黄渠村,景点,城市公园,116.568443,39.927567
会城门公园,北京,北京,北京,010,63467342,首都博物馆/莲花池东路,双贝子坟路,景点,城市公园,116.333267,39.901058
景藏健康公园,北京,北京,北京,010,58590706,北苑家园,奥运村安立路81号,景点,公园/广场,116.40845,40.03779
景山公园,北京,北京,北京,010,64038098,地安门,景山西街44号,景点,园林,116.396553,39.925877
莲花池公园,北京,北京,北京,010,63972892,北京西站/六里桥,太平桥街道西三环中路38号,景点,城市公园,116.314919,39.892114
柳荫公园,北京,北京,北京,010,84131660,安定门,安定门外黄寺大街8号,景点,城市公园,116.402122,39.960835
龙潭公园,北京,北京,北京,010,67144336;67186358,左安门,龙潭路8号,景点,城市公园,116.440742,39.8787
马甸公园,北京,北京,北京,010,138****0720,牡丹园/北太平庄,马甸桥西北侧马甸公园,景点,城市公园,116.37986,39.972244
北京明城墙遗址公园,北京,北京,北京,010,65270574;65270080,崇文门,崇文门东大街9号,景点,文化公园,116.427933,39.901272
南馆公园,北京,北京,北京,010,84012558,东直门,西羊管胡同甲1号,景点,城市公园,116.427711,39.943523
金隅南湖公园,北京,北京,北京,010,64738813,望京,阜通西大街20号,景点,城市公园,116.460564,39.982422
南口公园,北京,北京,北京,010,69775448,南口镇,南口西大桥西侧,景点,城市公园,116.117996,40.234249
南礼士路公园,北京,北京,北京,010,,月坛,南礼士路58号,景点,城市公园,116.354645,39.910725
南苑公园,北京,北京,北京,010,67992403,新宫,南苑西路5号,景点,城市公园,116.378647,39.806526
人定湖公园,北京,北京,北京,010,62023200,德外大街,安德路六铺炕15号,景点,城市公园,116.385971,39.95731
日坛公园,北京,北京,北京,010,85616301;85635038,建外大街,朝阳门外日坛北路6号,景点,城市公园,116.443794,39.915539
三元桥文化园,北京,北京,北京,010,84542268,亮马桥/三元桥,三元桥新源里街心绿地,景点,城市公园,116.45079,39.949593
石榴庄公园,北京,北京,北京,010,,大红门,南苑乡光彩路石榴庄公园,景点,城市公园,116.422569,39.833405
北京世界公园,北京,北京,北京,010,83613685;83613681,世界公园,花乡大葆台158号,景点,主题公园,116.287781,39.810467
双龙公园,北京,北京,北京,010,,北京欢乐谷,北杨庄路南磨房中心小学对面,景点,城市公园,116.482841,39.869453
双秀公园,北京,北京,北京,010,62011695;82089805,牡丹园/北太平庄,北三环中路20号,景点,城市公园,116.374275,39.965191
双榆树公园,北京,北京,北京,010,,双榆树,科学院南路31号,景点,城市公园,116.324806,39.970463
顺城公园,北京,北京,北京,010,,阜成门,新街口街道西二环东侧（复兴门立交桥至管园路口）,景点,文化公园,116.357124,39.915001
顺义公园,北京,北京,北京,010,69441755,顺义,光明南街26号,景点,城市公园,116.662102,40.120838
四得公园,北京,北京,北京,010,64353759,酒仙桥,将台乡将台西路9号,景点,城市公园,116.474899,39.972122
四季青公园,北京,北京,北京,010,,远大路,蓝靛厂北路,景点,城市公园,116.287361,39.968681
太阳宫公园,北京,北京,北京,010,,太阳宫,十字口东街,景点,城市公园,116.455925,39.975525
天坛公园,北京,北京,北京,010,67028866;67012483,天坛,天坛东里甲1号,景点,古代遗迹,116.410835,39.881886
万春园公园,北京,北京,北京,010,81524984,梨园,玉桥中路19号,景点,城市公园,116.677223,39.893265
万芳亭公园,北京,北京,北京,010,67211666,洋桥/木樨园,南三环西路3号,景点,城市公园,116.376122,39.858582
万柳公园,北京,北京,北京,010,82706909,苏州桥,新宫门路,景点,城市公园,116.293381,39.979977
万寿公园,北京,北京,北京,010,63540841;63542172,右安门,白纸坊东街甲29号,景点,城市公园,116.368233,39.879803
望京公园,北京,北京,北京,010,,望京,崔各庄地区彩虹路2号,景点,城市公园,116.498482,39.99474
卧龙公园,北京,北京,北京,010,69445460,顺义,仁和地区顺白路2号,景点,城市公园,116.640549,40.140915
顺义夕阳红公园,北京,北京,北京,010,,石园,石园大街近石园东路,景点,城市公园,116.670998,40.112995
西海子公园,北京,北京,北京,010,69544319,新华大街,新华街道西海子西路12号,景点,城市公园,116.664207,39.914589
